,X,Y,Angle,Grand Prix,Straight_Line
0,-1352.0456589479445,-423.443663454796,,Bahrain Grand Prix,6297
1,-3050.629354652038,-407.7137973325076,,Bahrain Grand Prix,6297
2,-4287.55159268936,-402.8788155598819,,Bahrain Grand Prix,6297
3,-6304.661766238924,-406.277015501844,,Bahrain Grand Prix,6297
4,-7830.512651774873,-408.5298157951837,,Bahrain Grand Prix,6297
5,-8299.046126056679,-286.8072481365088,114.34,Bahrain Grand Prix,
6,-8261.64991386062,17.683348291997273,,Bahrain Grand Prix,
7,-7932.993156357583,434.4071606036888,47.49,Bahrain Grand Prix,
8,-8113.784693120881,1542.7728133712062,10.77,Bahrain Grand Prix,
9,-8041.536832480842,2769.041236936348,,Bahrain Grand Prix,4056
10,-7795.334721652151,4257.540320114936,,Bahrain Grand Prix,4056
11,-7565.459164445436,5726.457686136218,,Bahrain Grand Prix,4056
12,-7330.916585022582,7004.421605203449,,Bahrain Grand Prix,4056
13,-6742.11995347289,7221.102307333882,114.21,Bahrain Grand Prix,4056
14,-6206.706560752129,6731.489706500076,,Bahrain Grand Prix,213
15,-5685.465463199785,6103.298081100288,,Bahrain Grand Prix,0
16,-4492.030885740592,5223.412344584008,35.32,Bahrain Grand Prix,
17,-4323.7936150841215,4216.670460702115,37.03,Bahrain Grand Prix,
18,-3779.211165072597,3407.182996228794,,Bahrain Grand Prix,213
19,-2856.554439683606,2860.049952907096,,Bahrain Grand Prix,
20,-2568.025480733263,2362.816567214792,116.61,Bahrain Grand Prix,
21,-2838.727122975266,2206.2738545530947,,Bahrain Grand Prix,
22,-3428.6247019708035,2221.696120768009,,Bahrain Grand Prix,1601
23,-4229.143122883815,2365.846243136805,,Bahrain Grand Prix,1601
24,-5513.60149020899,2557.135821024219,85.89,Bahrain Grand Prix,1601
25,-6642.361016535889,2043.429745796101,135.02,Bahrain Grand Prix,1601
26,-6400.714606778047,1656.6274543717288,,Bahrain Grand Prix,1601
27,-5936.69267791286,1606.7912272650235,,Bahrain Grand Prix,5549
28,-4679.455833287479,1564.64248450302,,Bahrain Grand Prix,5549
29,-3004.683019948332,1543.078076324776,,Bahrain Grand Prix,5549
30,-1911.568362511652,1530.219394545933,,Bahrain Grand Prix,5549
31,-372.8174001372092,1506.9068272972063,,Bahrain Grand Prix,5549
32,584.9384120439585,2103.695570684003,109.38,Bahrain Grand Prix,
33,256.2814850846107,2947.7397782712824,,Bahrain Grand Prix,
34,-894.667837402518,3527.9256597492954,,Bahrain Grand Prix,
35,-1780.762839009108,4947.866379683694,68.09,Bahrain Grand Prix,
36,-1459.6539254998845,5838.615539472759,,Bahrain Grand Prix,320
37,-981.8436806581624,6568.7356459787325,,Bahrain Grand Prix,
38,-383.7193731469081,6575.614073428561,92.54,Bahrain Grand Prix,
39,105.23663281249826,6012.335257710958,,Bahrain Grand Prix,5976
40,478.4409845565598,5353.95883662702,,Bahrain Grand Prix,5976
41,1034.870200398865,4405.800343674962,,Bahrain Grand Prix,5976
42,1749.6886179927424,3220.024804262639,,Bahrain Grand Prix,5976
43,2323.21217638448,2269.4614302734667,,Bahrain Grand Prix,5976
44,3249.3557943005967,762.8655989393806,,Bahrain Grand Prix,5976
45,3486.7508762955263,10.69236420909543,89.14,Bahrain Grand Prix,
46,3130.0159874878427,-346.9753853957154,51.7,Bahrain Grand Prix,
47,2225.5482683515697,-492.6295821784655,,Bahrain Grand Prix,3415
48,1057.9202977682369,-466.3632099233019,,Bahrain Grand Prix,3415
49,36.58728239341884,-445.9948102467833,,Bahrain Grand Prix,3415
50,32.12936721386652,-1352.399239781817,,Saudi Arabian Grand Prix,3898
51,-1263.8094486836274,-2231.013822776091,,Saudi Arabian Grand Prix,3898
52,-2845.7592308002045,-3206.7042895027644,,Saudi Arabian Grand Prix,3898
53,-3637.684856505689,-3663.8681587564233,45.18,Saudi Arabian Grand Prix,3898
54,-3802.8313762484,-4398.646783252857,72.76,Saudi Arabian Grand Prix,
55,-4155.153050641679,-4651.388623383682,,Saudi Arabian Grand Prix,
56,-4964.283185032399,-4700.59660668777,17.71,Saudi Arabian Grand Prix,366
57,-6134.743483118888,-5057.353793865952,,Saudi Arabian Grand Prix,1829
58,-7372.466528098707,-5541.157125733233,,Saudi Arabian Grand Prix,1829
59,-8077.364839500254,-6066.286034272127,37.39,Saudi Arabian Grand Prix,1829
60,-8542.769635863655,-6799.66204664364,71.74,Saudi Arabian Grand Prix,
61,-9433.737818192863,-7012.529841476452,59.76,Saudi Arabian Grand Prix,
62,-10720.448425217182,-7105.577215276634,42.69,Saudi Arabian Grand Prix,
63,-11445.697500916742,-7978.974477807799,48.23,Saudi Arabian Grand Prix,
64,-13027.11000539459,-8105.305355589521,64.3,Saudi Arabian Grand Prix,
65,-13886.538393434032,-7535.287947230856,24.03,Saudi Arabian Grand Prix,
66,-15058.478276991777,-7547.158470667407,10.11,Saudi Arabian Grand Prix,3164
67,-16514.030772963626,-7698.792673504746,,Saudi Arabian Grand Prix,3164
68,-18197.2728013079,-8152.482296502075,,Saudi Arabian Grand Prix,3164
69,-19263.67996736277,-8500.816555780182,,Saudi Arabian Grand Prix,
70,-20119.775518196333,-9180.102510178602,174.7,Saudi Arabian Grand Prix,
71,-19236.820718974548,-9749.407193569856,,Saudi Arabian Grand Prix,
72,-18277.731008727464,-9202.125796390885,,Saudi Arabian Grand Prix,
73,-17342.59939057638,-8571.154436712703,41.34,Saudi Arabian Grand Prix,
74,-15982.349108092523,-8396.904131110114,12.53,Saudi Arabian Grand Prix,
75,-14640.23838697588,-8526.054478627135,,Saudi Arabian Grand Prix,
76,-13875.274296550915,-8899.07316496912,25.17,Saudi Arabian Grand Prix,
77,-12874.260341306506,-9173.044078399627,61.8,Saudi Arabian Grand Prix,
78,-12035.914401228536,-8947.5311413987,,Saudi Arabian Grand Prix,
79,-10891.19629805796,-8260.181547470287,8.03,Saudi Arabian Grand Prix,366
80,-9719.562269022765,-7581.58026394162,10.1,Saudi Arabian Grand Prix,366
81,-8371.259417117884,-7123.798198385124,,Saudi Arabian Grand Prix,
82,-7266.963135663471,-6307.394056574248,14.91,Saudi Arabian Grand Prix,
83,-5814.8145322671735,-5402.1993627905385,30.65,Saudi Arabian Grand Prix,
84,-4343.143918840859,-5075.464599446603,,Saudi Arabian Grand Prix,
85,-3460.569974829073,-4713.189519774429,49.51,Saudi Arabian Grand Prix,
86,-3045.407323919075,-4038.717894508114,14.95,Saudi Arabian Grand Prix,
87,-1871.557511150314,-3691.421742697093,42.13,Saudi Arabian Grand Prix,731
88,-683.0267344074069,-3907.302711601029,,Saudi Arabian Grand Prix,731
89,431.8293788793348,-4034.3690197522446,32.51,Saudi Arabian Grand Prix,
90,1774.0033309340242,-3680.1458098606618,,Saudi Arabian Grand Prix,1219
91,3290.62313317819,-2843.386958434,,Saudi Arabian Grand Prix,1219
92,4271.837913452683,-1826.813028524876,28.82,Saudi Arabian Grand Prix,2191
93,5262.845598851747,101.20376794759954,,Saudi Arabian Grand Prix,2191
94,5545.343130452429,778.669740996816,,Saudi Arabian Grand Prix,
95,5263.599352432295,1292.7810553509555,22.22,Saudi Arabian Grand Prix,
96,4750.549618840138,1155.587867251048,,Saudi Arabian Grand Prix,4873
97,3737.167686367513,664.8516255304588,,Saudi Arabian Grand Prix,4873
98,2615.3258648649253,100.69568296869072,,Saudi Arabian Grand Prix,4873
99,1309.824931474047,-557.6904597435823,,Saudi Arabian Grand Prix,4873
100,-39.0360208819688,-1790.6929354508836,,Australian Grand Prix,2614
101,-1257.7260957665555,-1799.8308442817113,,Australian Grand Prix,2614
102,-2561.33010518864,-1811.729861832153,,Australian Grand Prix,2614
103,-3510.4333682877327,-1650.8914461017853,53.75,Australian Grand Prix,
104,-3925.6065728587314,-1045.341109460604,6.9,Australian Grand Prix,
105,-4853.969177470493,-628.1458621740798,,Australian Grand Prix,4269
106,-5876.459046632523,-660.5104641493463,,Australian Grand Prix,4269
107,-6832.917742742673,-637.4504850671711,,Australian Grand Prix,4269
108,-8445.510584868127,-443.1071663609423,,Australian Grand Prix,4269
109,-9546.091578919382,-208.9032476636903,,Australian Grand Prix,4269
110,-9996.92449444035,-25.644735493412664,104.97,Australian Grand Prix,
111,-10053.403954128802,466.14797554783513,,Australian Grand Prix,
112,-9694.115010409158,913.2010539633876,,Australian Grand Prix,
113,-9580.001476696343,1454.3499257385895,77.72,Australian Grand Prix,
114,-9999.257852198973,1947.5244299461772,,Australian Grand Prix,209
115,-10803.908324487802,2645.4460712823407,61.6,Australian Grand Prix,
116,-10997.419355074242,3673.577619792245,,Australian Grand Prix,314
117,-10640.0180357477,4984.8797577237165,,Australian Grand Prix,1568
118,-10239.5228491159,5969.403807955482,,Australian Grand Prix,1568
119,-9888.961864199851,6929.3397411586775,47.38,Australian Grand Prix,
120,-8947.863641770187,7241.767550003739,12.42,Australian Grand Prix,314
121,-7774.528124552144,7893.847885571886,,Australian Grand Prix,
122,-6638.865460532715,7886.754680915703,54.63,Australian Grand Prix,
123,-5383.49869011158,7201.474977639436,,Australian Grand Prix,418
124,-4397.450447174169,6118.491200013913,,Australian Grand Prix,1254
125,-3901.319126607154,5086.491823680561,,Australian Grand Prix,1254
126,-3316.433569629058,3831.585099960258,,Australian Grand Prix,0
127,-2272.3516707346207,2913.0765325527545,,Australian Grand Prix,
128,-1258.7753760929756,2475.2990834527427,,Australian Grand Prix,1149
129,645.2173396985348,2363.56395821064,,Australian Grand Prix,1149
130,1634.5642699444763,2685.050585635377,31.64,Australian Grand Prix,0
131,2500.7023307458007,3483.9359714269326,32.87,Australian Grand Prix,1464
132,3509.9901125352794,3570.2793181913057,,Australian Grand Prix,1464
133,4433.919694049427,3628.409589161709,,Australian Grand Prix,
134,5593.260840525707,3478.7529618875874,,Australian Grand Prix,1986
135,7188.98516413495,2723.175776524091,,Australian Grand Prix,1986
136,8355.56622695439,2056.418981379814,,Australian Grand Prix,0
137,8783.28548838575,1521.371101839478,87.38,Australian Grand Prix,
138,8471.289833384735,947.6083361771472,,Australian Grand Prix,1254
139,8037.701070696607,255.0343077364484,,Australian Grand Prix,1254
140,7394.600921099288,-528.6494279553841,72.24,Australian Grand Prix,
141,6292.341589816216,-390.5973848723722,,Australian Grand Prix,314
142,5388.845754629357,-88.40493658817066,,Australian Grand Prix,
143,5012.958687401414,-230.3588470336948,105.58,Australian Grand Prix,
144,5011.234932550588,-653.2430258217106,,Australian Grand Prix,
145,4972.945043604982,-1347.766520315981,82.85,Australian Grand Prix,
146,4040.0700494729135,-1796.8302633671135,,Australian Grand Prix,3555
147,3149.723727371937,-1794.7262858804493,,Australian Grand Prix,3555
148,2243.897469681825,-1788.1088181527157,,Australian Grand Prix,3555
149,1089.852829442027,-1780.694754908097,,Australian Grand Prix,3555
150,1349.8826920818103,-534.3797503816592,,Azerbaijan Grand Prix,1656
151,3084.973109878291,90.66924135485571,,Azerbaijan Grand Prix,1656
152,3734.673501211011,469.18529319692817,85.28,Azerbaijan Grand Prix,
153,3596.029388802731,1148.3721674035196,,Azerbaijan Grand Prix,2129
154,3101.052664508089,2461.0762629279247,,Azerbaijan Grand Prix,2129
155,2610.226086658616,3547.2527082979086,85.4,Azerbaijan Grand Prix,2129
156,1888.839338577256,3386.78726126148,,Azerbaijan Grand Prix,7450
157,977.7427034554978,3103.0815660951507,,Azerbaijan Grand Prix,7450
158,-583.4065560316857,2606.104715927441,,Azerbaijan Grand Prix,7450
159,-2045.5783269334036,2067.891270928029,,Azerbaijan Grand Prix,7450
160,-3493.8739562610426,1526.9478634717066,,Azerbaijan Grand Prix,7450
161,-5085.008959550274,916.3846797570512,,Azerbaijan Grand Prix,7450
162,-5560.895475879455,529.7608010634611,86.98,Azerbaijan Grand Prix,
163,-5304.557347140449,-215.676495933801,,Azerbaijan Grand Prix,
164,-4946.617818834131,-1219.7857001919087,,Azerbaijan Grand Prix,
