X,Y,Number,Angle,Category,Grand Prix
42.40593929993702,8329.202564224179,1,114.34,Serré,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023
820.7816212551479,7879.043840540197,2,47.49,Serré,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023
1912.969997301606,8065.44216673751,3,10.77,Large,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023
7487.745292571566,6790.71071569364,4,114.21,Serré,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023
5820.228442599813,4860.740936217904,5,21.08,Moyen,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023
5180.404120509692,4214.598861214608,6,35.32,Serré,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023
4276.202937249183,4156.240630824386,7,37.03,Serré,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023
2490.099010685538,2458.6003965290042,8,116.61,Serré,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023
2711.1552878922835,5950.242339493996,9,85.89,Serré,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023
2100.132715648695,6613.999850943207,10,135.02,Serré,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023
2120.9852205176358,-663.9950720811103,11,109.38,Serré,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023
4981.251161545602,1603.7476220625608,12,68.09,Serré,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023
6665.934072283377,449.2756371061455,13,92.54,Serré,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023
-145.4124578081196,-3472.8085483980503,14,89.14,Serré,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023
-552.8126057447134,-2803.66625094119,15,51.7,Serré,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023
-2908.523056214108,4757.490498091253,1,45.18,Serré,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023
-3463.1717202600994,4834.551790013647,2,72.76,Serré,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023
-3333.3247695142136,6205.801601139092,3,17.71,Moyen,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023
-3726.8753781951586,9192.730296885,4,37.39,Serré,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023
-4503.338061486339,9863.121848255349,5,71.74,Serré,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023
-4285.277170059697,11311.588157372298,6,59.76,Serré,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023
-4405.375789032021,12447.507360095766,7,42.69,Serré,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023
-4926.6524289887675,12948.264921924423,8,48.23,Serré,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023
-4851.685765788991,14451.23927618633,9,64.3,Serré,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023
-4049.885091566999,15075.214007695733,10,24.03,Moyen,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023
-3793.6155931845055,16049.942225670482,11,28.7,Moyen,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023
-3573.7348764062713,16904.96513044109,12,10.11,Large,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023
-4317.586218963094,21791.136106267713,13,174.7,Serré,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023
-4128.693808130403,18964.562668757066,14,41.34,Serré,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023
-4524.771575373783,16996.49388114333,15,12.53,Large,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023
-4900.2146767086415,15776.132943023345,16,25.17,Moyen,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023
-5687.898927810389,15233.132054777167,17,61.8,Serré,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023
-5575.506518373531,13034.768132909623,18,8.03,Large,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023
-4995.647738092284,11155.10295548154,19,10.1,Large,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023
-4663.182729865367,9118.43162273858,20,14.91,Large,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023
-3883.815484557315,7285.573383855088,21,30.65,Serré,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023
-3912.876567276061,4866.397794696875,22,49.51,Serré,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023
-3409.812556762191,4155.133314899098,23,14.95,Large,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023
-3104.1254266500055,2806.184304442164,24,42.13,Serré,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023
-4073.934794761703,93.77447360417227,25,32.51,Serré,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023
-3097.992407379881,-3343.273850025347,26,28.82,Moyen,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023
-126.0020350712939,-5554.263009208047,27,22.22,Moyen,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023
-3650.594482421875,1193.7841796875,1,53.75,Serré,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023
-3555.05322265625,1992.750244140625,2,6.9,Large,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023
-7194.97021484375,7101.9423828125,3,104.97,Serré,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023
-5878.734375,7709.86474609375,4,77.72,Serré,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023
-5870.66259765625,9676.8056640625,5,61.6,Serré,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023
-2280.641357421875,11861.5595703125,6,47.38,Serré,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023
-1296.3824462890625,11398.0087890625,7,12.42,Large,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023
502.41253662109375,10576.3115234375,8,54.63,Serré,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023
2838.84375,798.9598388671875,9,31.64,Serré,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023
3973.896484375,855.0198974609375,10,32.87,Serré,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023
7489.130859375,-4851.34521484375,11,87.38,Serré,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023
5020.2177734375,-5538.8876953125,12,72.24,Serré,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023
3587.2265625,-3634.0,13,105.58,Serré,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023
2300.2841796875,-4454.0234375,14,82.85,Serré,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023
3689.0374001567743,631.3189725875945,1,85.28,Serré,FORMULA 1 AZERBAIJAN GRAND PRIX 2023
2384.0669137610676,3686.0714516243042,2,85.4,Serré,FORMULA 1 AZERBAIJAN GRAND PRIX 2023
-5565.825567829175,374.2425523226766,3,86.98,Serré,FORMULA 1 AZERBAIJAN GRAND PRIX 2023
-4862.6651767420935,-1723.1620080668729,4,87.62,Serré,FORMULA 1 AZERBAIJAN GRAND PRIX 2023
-7728.697050002749,-3377.074091094411,5,15.92,Moyen,FORMULA 1 AZERBAIJAN GRAND PRIX 2023
-7617.318818496836,-3926.026038238873,6,18.01,Moyen,FORMULA 1 AZERBAIJAN GRAND PRIX 2023
-10710.063798831094,-6235.337256785684,7,100.71,Serré,FORMULA 1 AZERBAIJAN GRAND PRIX 2023
-11409.887894367614,-4438.977047761271,8,61.02,Serré,FORMULA 1 AZERBAIJAN GRAND PRIX 2023
-11606.2553499057,-4286.033173998214,9,55.24,Serré,FORMULA 1 AZERBAIJAN GRAND PRIX 2023
-11886.309274295963,-4199.07140004945,10,23.58,Moyen,FORMULA 1 AZERBAIJAN GRAND PRIX 2023
-12352.278964478111,-4129.880226960703,11,51.27,Serré,FORMULA 1 AZERBAIJAN GRAND PRIX 2023
-12573.09027225614,-3645.1900160358095,12,61.1,Serré,FORMULA 1 AZERBAIJAN GRAND PRIX 2023
-16186.999703336216,-5197.330621083427,13,47.19,Serré,FORMULA 1 AZERBAIJAN GRAND PRIX 2023
-16888.82437537549,-7335.751780162162,14,31.54,Serré,FORMULA 1 AZERBAIJAN GRAND PRIX 2023
