,TeamId,Grand Prix,Saison
0,red_bull,Bahrain Grand Prix,2023
1,red_bull,Bahrain Grand Prix,2023
2,aston_martin,Bahrain Grand Prix,2023
3,ferrari,Bahrain Grand Prix,2023
4,mercedes,Bahrain Grand Prix,2023
5,aston_martin,Bahrain Grand Prix,2023
6,mercedes,Bahrain Grand Prix,2023
7,alfa,Bahrain Grand Prix,2023
8,alpine,Bahrain Grand Prix,2023
9,williams,Bahrain Grand Prix,2023
10,alphatauri,Bahrain Grand Prix,2023
11,williams,Bahrain Grand Prix,2023
12,haas,Bahrain Grand Prix,2023
13,alphatauri,Bahrain Grand Prix,2023
14,haas,Bahrain Grand Prix,2023
15,alfa,Bahrain Grand Prix,2023
16,mclaren,Bahrain Grand Prix,2023
17,alpine,Bahrain Grand Prix,2023
18,ferrari,Bahrain Grand Prix,2023
19,mclaren,Bahrain Grand Prix,2023
20,red_bull,Saudi Arabian Grand Prix,2023
21,red_bull,Saudi Arabian Grand Prix,2023
22,aston_martin,Saudi Arabian Grand Prix,2023
23,mercedes,Saudi Arabian Grand Prix,2023
24,mercedes,Saudi Arabian Grand Prix,2023
25,ferrari,Saudi Arabian Grand Prix,2023
26,ferrari,Saudi Arabian Grand Prix,2023
27,alpine,Saudi Arabian Grand Prix,2023
28,alpine,Saudi Arabian Grand Prix,2023
29,haas,Saudi Arabian Grand Prix,2023
30,alphatauri,Saudi Arabian Grand Prix,2023
31,haas,Saudi Arabian Grand Prix,2023
32,alfa,Saudi Arabian Grand Prix,2023
33,alphatauri,Saudi Arabian Grand Prix,2023
34,mclaren,Saudi Arabian Grand Prix,2023
35,williams,Saudi Arabian Grand Prix,2023
36,mclaren,Saudi Arabian Grand Prix,2023
37,alfa,Saudi Arabian Grand Prix,2023
38,williams,Saudi Arabian Grand Prix,2023
39,aston_martin,Saudi Arabian Grand Prix,2023
40,red_bull,Australian Grand Prix,2023
41,mercedes,Australian Grand Prix,2023
42,aston_martin,Australian Grand Prix,2023
43,aston_martin,Australian Grand Prix,2023
44,red_bull,Australian Grand Prix,2023
45,mclaren,Australian Grand Prix,2023
46,haas,Australian Grand Prix,2023
47,mclaren,Australian Grand Prix,2023
48,alfa,Australian Grand Prix,2023
49,alphatauri,Australian Grand Prix,2023
50,alfa,Australian Grand Prix,2023
51,ferrari,Australian Grand Prix,2023
52,alpine,Australian Grand Prix,2023
53,alpine,Australian Grand Prix,2023
54,alphatauri,Australian Grand Prix,2023
55,williams,Australian Grand Prix,2023
56,haas,Australian Grand Prix,2023
57,mercedes,Australian Grand Prix,2023
58,williams,Australian Grand Prix,2023
59,ferrari,Australian Grand Prix,2023
60,red_bull,Azerbaijan Grand Prix,2023
61,red_bull,Azerbaijan Grand Prix,2023
62,ferrari,Azerbaijan Grand Prix,2023
63,aston_martin,Azerbaijan Grand Prix,2023
64,ferrari,Azerbaijan Grand Prix,2023
65,mercedes,Azerbaijan Grand Prix,2023
66,aston_martin,Azerbaijan Grand Prix,2023
67,mercedes,Azerbaijan Grand Prix,2023
68,mclaren,Azerbaijan Grand Prix,2023
69,alphatauri,Azerbaijan Grand Prix,2023
70,mclaren,Azerbaijan Grand Prix,2023
71,williams,Azerbaijan Grand Prix,2023
72,haas,Azerbaijan Grand Prix,2023
73,alpine,Azerbaijan Grand Prix,2023
74,alpine,Azerbaijan Grand Prix,2023
75,williams,Azerbaijan Grand Prix,2023
76,haas,Azerbaijan Grand Prix,2023
77,alfa,Azerbaijan Grand Prix,2023
78,alfa,Azerbaijan Grand Prix,2023
79,alphatauri,Azerbaijan Grand Prix,2023
80,red_bull,Miami Grand Prix,2023
81,red_bull,Miami Grand Prix,2023
82,aston_martin,Miami Grand Prix,2023
83,mercedes,Miami Grand Prix,2023
84,ferrari,Miami Grand Prix,2023
85,mercedes,Miami Grand Prix,2023
86,ferrari,Miami Grand Prix,2023
87,alpine,Miami Grand Prix,2023
88,alpine,Miami Grand Prix,2023
89,haas,Miami Grand Prix,2023
90,alphatauri,Miami Grand Prix,2023
91,aston_martin,Miami Grand Prix,2023
92,alfa,Miami Grand Prix,2023
93,williams,Miami Grand Prix,2023
94,haas,Miami Grand Prix,2023
95,alfa,Miami Grand Prix,2023
96,mclaren,Miami Grand Prix,2023
97,alphatauri,Miami Grand Prix,2023
98,mclaren,Miami Grand Prix,2023
99,williams,Miami Grand Prix,2023
100,red_bull,Monaco Grand Prix,2023
101,aston_martin,Monaco Grand Prix,2023
102,alpine,Monaco Grand Prix,2023
103,mercedes,Monaco Grand Prix,2023
104,mercedes,Monaco Grand Prix,2023
105,ferrari,Monaco Grand Prix,2023
106,alpine,Monaco Grand Prix,2023
107,ferrari,Monaco Grand Prix,2023
108,mclaren,Monaco Grand Prix,2023
109,mclaren,Monaco Grand Prix,2023
110,alfa,Monaco Grand Prix,2023
111,alphatauri,Monaco Grand Prix,2023
112,alfa,Monaco Grand Prix,2023
113,williams,Monaco Grand Prix,2023
114,alphatauri,Monaco Grand Prix,2023
115,red_bull,Monaco Grand Prix,2023
116,haas,Monaco Grand Prix,2023
117,williams,Monaco Grand Prix,2023
118,haas,Monaco Grand Prix,2023
119,aston_martin,Monaco Grand Prix,2023
120,red_bull,Spanish Grand Prix,2023
121,mercedes,Spanish Grand Prix,2023
122,mercedes,Spanish Grand Prix,2023
123,red_bull,Spanish Grand Prix,2023
124,ferrari,Spanish Grand Prix,2023
125,aston_martin,Spanish Grand Prix,2023
126,aston_martin,Spanish Grand Prix,2023
127,alpine,Spanish Grand Prix,2023
128,alfa,Spanish Grand Prix,2023
129,alpine,Spanish Grand Prix,2023
130,ferrari,Spanish Grand Prix,2023
131,alphatauri,Spanish Grand Prix,2023
132,mclaren,Spanish Grand Prix,2023
133,alphatauri,Spanish Grand Prix,2023
134,haas,Spanish Grand Prix,2023
135,williams,Spanish Grand Prix,2023
136,mclaren,Spanish Grand Prix,2023
137,haas,Spanish Grand Prix,2023
138,alfa,Spanish Grand Prix,2023
139,williams,Spanish Grand Prix,2023
140,red_bull,Canadian Grand Prix,2023
141,aston_martin,Canadian Grand Prix,2023
142,mercedes,Canadian Grand Prix,2023
143,ferrari,Canadian Grand Prix,2023
144,ferrari,Canadian Grand Prix,2023
145,red_bull,Canadian Grand Prix,2023
146,williams,Canadian Grand Prix,2023
147,alpine,Canadian Grand Prix,2023
148,aston_martin,Canadian Grand Prix,2023
149,alfa,Canadian Grand Prix,2023
150,mclaren,Canadian Grand Prix,2023
151,alpine,Canadian Grand Prix,2023
152,mclaren,Canadian Grand Prix,2023
153,alphatauri,Canadian Grand Prix,2023
154,haas,Canadian Grand Prix,2023
155,alfa,Canadian Grand Prix,2023
156,haas,Canadian Grand Prix,2023
157,alphatauri,Canadian Grand Prix,2023
158,mercedes,Canadian Grand Prix,2023
159,williams,Canadian Grand Prix,2023
160,red_bull,Austrian Grand Prix,2023
161,ferrari,Austrian Grand Prix,2023
162,red_bull,Austrian Grand Prix,2023
163,mclaren,Austrian Grand Prix,2023
164,aston_martin,Austrian Grand Prix,2023
165,ferrari,Austrian Grand Prix,2023
166,mercedes,Austrian Grand Prix,2023
167,mercedes,Austrian Grand Prix,2023
168,aston_martin,Austrian Grand Prix,2023
169,alpine,Austrian Grand Prix,2023
170,williams,Austrian Grand Prix,2023
171,alfa,Austrian Grand Prix,2023
172,williams,Austrian Grand Prix,2023
173,alpine,Austrian Grand Prix,2023
174,alfa,Austrian Grand Prix,2023
175,mclaren,Austrian Grand Prix,2023
176,alphatauri,Austrian Grand Prix,2023
177,haas,Austrian Grand Prix,2023
178,alphatauri,Austrian Grand Prix,2023
179,haas,Austrian Grand Prix,2023
180,red_bull,British Grand Prix,2023
181,mclaren,British Grand Prix,2023
182,mercedes,British Grand Prix,2023
183,mclaren,British Grand Prix,2023
184,mercedes,British Grand Prix,2023
185,red_bull,British Grand Prix,2023
186,aston_martin,British Grand Prix,2023
187,williams,British Grand Prix,2023
188,ferrari,British Grand Prix,2023
189,ferrari,British Grand Prix,2023
190,williams,British Grand Prix,2023
191,alfa,British Grand Prix,2023
192,haas,British Grand Prix,2023
193,aston_martin,British Grand Prix,2023
194,alfa,British Grand Prix,2023
195,alphatauri,British Grand Prix,2023
196,alphatauri,British Grand Prix,2023
197,alpine,British Grand Prix,2023
198,haas,British Grand Prix,2023
199,alpine,British Grand Prix,2023
